year,day,state,wfhpct,age1824pct,age2539pct,age4054pct,age55pluspct,income50minuspct,income50100pct,income100pluspct,population2019,date
2020,2-Sep,ND,0.306397474,0.087399574,0.380759085,0.28120596,0.250635381,0.115665435,0.380528218,0.503806347,762062,September 2 2020
2020,2-Sep,NE,0.339868398,0.047933997,0.38668339,0.316146477,0.249236136,0.204229772,0.401254602,0.394515626,1934408,September 2 2020
2020,2-Sep,NH,0.378951253,0.06553257,0.304751893,0.334355329,0.295360208,0.126582943,0.290749607,0.58266745,1359711,September 2 2020
2020,2-Sep,NJ,0.44886404,0.100484847,0.316255388,0.314785198,0.268474567,0.100977283,0.264510164,0.634512553,8882190,September 2 2020
2020,2-Sep,NM,0.321840734,0.047533527,0.35334397,0.270136281,0.328986222,0.258650557,0.400293239,0.341056204,2096829,September 2 2020
2020,2-Sep,NV,0.270801572,0.081406574,0.365295713,0.294833195,0.258464519,0.260769128,0.382277346,0.356953526,3080156,September 2 2020
2020,2-Sep,NY,0.396527367,0.083497891,0.353168441,0.257187478,0.30614619,0.158232253,0.316233014,0.525534734,19453561,September 2 2020
2020,2-Sep,OH,0.326784228,0.105259513,0.365840042,0.239664696,0.289235749,0.207365855,0.344513481,0.448120665,11689100,September 2 2020
2020,2-Sep,OK,0.258867972,0.096223785,0.347850677,0.276859276,0.279066262,0.261346614,0.364987893,0.373665493,3956971,September 2 2020
2020,2-Sep,OR,0.378257011,0.105041883,0.337943646,0.294565288,0.262449182,0.205594091,0.352074466,0.442331443,4217737,September 2 2020
2020,2-Sep,PA,0.376191312,0.139547323,0.313094264,0.290658805,0.256699607,0.19064609,0.302432467,0.506921443,12801989,September 2 2020
2020,2-Sep,RI,0.407894161,0.116617294,0.272628613,0.295434685,0.315319408,0.186378716,0.284435694,0.52918559,1059361,September 2 2020
2020,2-Sep,SC,0.298755547,0.120866438,0.326157647,0.289238435,0.26373748,0.239984361,0.363751742,0.396263897,5148714,September 2 2020
2020,2-Sep,SD,0.280001839,0.070431785,0.322859254,0.323686,0.283022961,0.119782696,0.437220117,0.442997187,884659,September 2 2020
2020,2-Sep,TN,0.287165315,0.106783953,0.365043877,0.239211895,0.288960275,0.199651829,0.357483498,0.442864673,6829174,September 2 2020
2020,2-Sep,TX,0.354516173,0.112398617,0.328721146,0.317155431,0.241724806,0.221153204,0.310260544,0.468586252,28995881,September 2 2020
2020,2-Sep,UT,0.464926893,0.169211714,0.367171024,0.279709985,0.183907277,0.222515628,0.360692376,0.416791996,3205958,September 2 2020
