City,State,State_full,Type,Counties,Population,Latitude,Longitude,County_State,,,abbv,State
Midland,TX,Texas,City,Midland,132524,31.998,-102.074,Midland County Texas,,,,
Norman,OK,Oklahoma,City,Cleveland,128026,35.221,-97.443,Cleveland County Oklahoma,,,,
Santa Clara,CA,California,City,Santa Clara,127647,37.354,-121.954,Santa Clara County California,,,,
Athens,GA,Georgia,Unified Government,Clarke,127315,33.958,-83.375,Clarke County Georgia,,,,
Thousand Oaks,CA,California,City,Ventura,126966,34.175,-118.845,Ventura County California,,,,
Topeka,KS,Kansas,City,Shawnee,126587,39.05,-95.677,Shawnee County Kansas,,,,
Simi Valley,CA,California,City,Ventura,126356,34.272,-118.779,Ventura County California,,,,
Columbia,MO,Missouri,City,Boone,126254,38.952,-92.329,Boone County Missouri,,,,
Vallejo,CA,California,City,Solano,126090,38.101,-122.255,Solano County California,,,,
Fargo,ND,North Dakota,City,Cass,125990,46.874,-96.788,Cass County North Dakota,,,,
Allentown,PA,Pennsylvania,City,Lehigh,125845,40.602,-75.472,Lehigh County Pennsylvania,,,,
Pearland,TX,Texas,City,Brazoria,125828,29.564,-95.286,Brazoria County Texas,,,,
Concord,CA,California,City,Contra Costa,125410,37.977,-122.034,Contra Costa County California,,,,
Abilene,TX,Texas,City,Taylor,125182,32.449,-99.733,Taylor County Texas,,,,
Arvada,CO,Colorado,City,Jefferson,124402,39.802,-105.081,Jefferson County Colorado,,,,
Berkeley,CA,California,City,Alameda,124321,37.871,-122.268,Alameda County California,,,,
Ann Arbor,MI,Michigan,City,Washtenaw,123851,42.281,-83.748,Washtenaw County Michigan,,,,
Independence,MO,Missouri,City,Clay,123011,39.092,-94.416,Clay County Missouri,,,,
Rochester,MN,Minnesota,City,Olmsted,121395,44.023,-92.463,Olmsted County Minnesota,,,,
Lafayette,LA,Louisiana,City,Lafayette,121374,30.223,-92.02,Lafayette County Louisiana,,,,
Hartford,CT,Connecticut,Town,Hartford,121054,41.761,-72.689,Hartford County Connecticut,,,,
College Station,TX,Texas,City,Brazos,120511,30.628,-96.335,Brazos County Texas,,,,
Clovis,CA,California,City,Fresno,120124,36.825,-119.7,Fresno County California,,,,
Fairfield,CA,California,City,Solano,119881,38.249,-122.04,Solano County California,,,,
Palm Bay,FL,Florida,City,Brevard,119760,28.035,-80.622,Brevard County Florida,,,,
Richardson,TX,Texas,City,Dallas,119469,32.949,-96.732,Dallas County Texas,,,,
Round Rock,TX,Texas,City,Williamson,119468,30.509,-97.679,Williamson County Texas,,,,
Cambridge,MA,Massachusetts,City,Middlesex,118403,42.376,-71.117,Middlesex County Massachusetts,,,,
Meridian,ID,Idaho,City,Ada,117635,43.605,-116.392,Ada County Idaho,,,,
West Palm Beach,FL,Florida,City,Palm Beach,117415,26.713,-80.052,Palm Beach County Florida,,,,
Evansville,IN,Indiana,City,Vanderburgh,117298,37.97,-87.574,Vanderburgh County Indiana,,,,
Clearwater,FL,Florida,City,Pinellas,117292,27.966,-82.8,Pinellas County Florida,,,,
Billings,MT,Montana,City,Yellowstone,117116,45.783,-108.507,Yellowstone County Montana,,,,
West Jordan,UT,Utah,City,Salt Lake,116961,40.61,-111.939,Salt Lake County Utah,,,,
Richmond,CA,California,City,Contra Costa,116448,37.936,-122.348,Contra Costa County California,,,,
Westminster,CO,Colorado,City,Jefferson,116317,39.835,-105.034,Jefferson County Colorado,,,,
Manchester,NH,New Hampshire,City,Hillsborough,115644,42.991,-71.463,Hillsborough County New Hampshire,,,,
Lowell,MA,Massachusetts,City,Middlesex,115554,42.645,-71.313,Middlesex County Massachusetts,,,,
Wilmington,NC,North Carolina,City,New Hanover,115451,34.235,-77.949,New Hanover County North Carolina,,,,
Antioch,CA,California,City,Contra Costa,115291,38.005,-121.806,Contra Costa County California,,,,
Beaumont,TX,Texas,City,Jefferson,115282,30.082,-94.098,Jefferson County Texas,,,,
Provo,UT,Utah,City,Utah,115162,40.234,-111.659,Utah County Utah,,,,
North Charleston,SC,South Carolina,City,Charleston,114852,32.854,-79.974,Charleston County South Carolina,,,,
Elgin,IL,Illinois,City,Cook,114797,42.037,-88.284,Cook County Illinois,,,,
Carlsbad,CA,California,City,San Diego,114746,33.158,-117.351,San Diego County California,,,,
Odessa,TX,Texas,City,Midland,114428,31.848,-102.369,Midland County Texas,,,,
Waterbury,CT,Connecticut,Town,New Haven,114403,41.554,-73.043,New Haven County Connecticut,,,,
Springfield,IL,Illinois,City,Sangamon,114394,39.801,-89.655,Sangamon County Illinois,,,,
League City,TX,Texas,City,Harris,114392,29.508,-95.095,Harris County Texas,,,,
Downey,CA,California,City,Los Angeles,114355,33.94,-118.133,Los Angeles County California,,,,
Gresham,OR,Oregon,City,Multnomah,114247,45.498,-122.431,Multnomah County Oregon,,,,
High Point,NC,North Carolina,City,Guilford,114059,35.957,-80.006,Guilford County North Carolina,,,,
Broken Arrow,OK,Oklahoma,City,Wagoner,113540,36.052,-95.791,Wagoner County Oklahoma,,,,
Peoria,IL,Illinois,City,Peoria,113150,40.693,-89.591,Peoria County Illinois,,,,
Lansing,MI,Michigan,City,Ingham,112644,42.734,-84.552,Ingham County Michigan,,,,
Lakeland,FL,Florida,City,Polk,112641,28.045,-81.956,Polk County Florida,,,,
Pompano Beach,FL,Florida,City,Broward,112046,26.232,-80.126,Broward County Florida,,,,
Costa Mesa,CA,California,City,Orange,111918,33.641,-117.919,Orange County California,,,,
Pueblo,CO,Colorado,City,Pueblo,111876,38.256,-104.624,Pueblo County Colorado,,,,
Lewisville,TX,Texas,City,Denton,111822,33.046,-96.994,Denton County Texas,,,,
Miami Gardens,FL,Florida,City,Miami-Dade,111640,25.941,-80.245,Miami-Dade County Florida,,,,
Las Cruces,NM,New Mexico,City,Doña Ana,111385,32.31,-106.779,Doña Ana County New Mexico,,,,
Sugar Land,TX,Texas,City,Fort Bend,111026,29.595,-95.621,Fort Bend County Texas,,,,
Murrieta,CA,California,City,Riverside,110949,33.554,-117.214,Riverside County California,,,,
Ventura,CA,California,City,Ventura,110763,34.281,-119.301,Ventura County California,,,,
Everett,WA,Washington,City,Snohomish,110629,47.979,-122.202,Snohomish County Washington,,,,
Temecula,CA,California,City,Riverside,110003,33.493,-117.149,Riverside County California,,,,
Dearborn,MI,Michigan,City,Wayne,109976,42.322,-83.176,Wayne County Michigan,,,,
Santa Maria,CA,California,City,Santa Barbara,109707,34.953,-120.436,Santa Barbara County California,,,,
West Covina,CA,California,City,Los Angeles,109501,34.069,-117.938,Los Angeles County California,,,,
El Monte,CA,California,City,Los Angeles,109450,34.073,-118.032,Los Angeles County California,,,,
Greeley,CO,Colorado,City,Weld,108795,40.425,-104.694,Weld County Colorado,,,,
Sparks,NV,Nevada,City,Washoe,108445,39.535,-119.753,Washoe County Nevada,,,,
Centennial,CO,Colorado,City,Arapahoe,108418,39.586,-104.885,Arapahoe County Colorado,,,,
Boulder,CO,Colorado,City,Boulder,108250,40.018,-105.278,Boulder County Colorado,,,,
Sandy Springs,GA,Georgia,City,Fulton,108080,33.925,-84.379,Fulton County Georgia,,,,
Inglewood,CA,California,City,Los Angeles,107762,33.962,-118.352,Los Angeles County California,,,,
Edison,NJ,New Jersey,Township,Middlesex,107588,40.512,-74.387,Middlesex County New Jersey,,,,
