City,State,State_full,Type,Counties,Population,Latitude,Longitude,County_State,,,abbv,State
Bellevue,MI,Michigan,Village,Eaton,1308,42.444,-85.019,Eaton County Michigan,,,,
Flatonia,TX,Texas,Town,Fayette,1308,29.689,-97.106,Fayette County Texas,,,,
Girardville,PA,Pennsylvania,Borough,Schuylkill,1308,40.792,-76.283,Schuylkill County Pennsylvania,,,,
Ravenna,MI,Michigan,Village,Muskegon,1308,43.188,-85.941,Muskegon County Michigan,,,,
Stoneville,NC,North Carolina,Town,Rockingham,1308,36.466,-79.906,Rockingham County North Carolina,,,,
Tombstone,AZ,Arizona,City,Cochise,1308,31.718,-110.062,Cochise County Arizona,,,,
Julesburg,CO,Colorado,Town,Sedgwick,1307,40.985,-102.263,Sedgwick County Colorado,,,,
Muscoda,WI,Wisconsin,Village,Grant,1307,43.187,-90.434,Grant County Wisconsin,,,,
Atkinson,NE,Nebraska,City,Holt,1306,42.531,-98.975,Holt County Nebraska,,,,
Coburg,OR,Oregon,City,Lane,1306,44.138,-123.059,Lane County Oregon,,,,
Glenwood City,WI,Wisconsin,City,St. Croix,1306,45.057,-92.171,St. Croix County Wisconsin,,,,
Glyndon,MN,Minnesota,City,Clay,1306,46.872,-96.58,Clay County Minnesota,,,,
Sangerville,ME,Maine,Town,Piscataquis,1306,45.126,-69.313,Piscataquis County Maine,,,,
Fayette,OH,Ohio,Village,Fulton,1305,41.673,-84.328,Fulton County Ohio,,,,
Oologah,OK,Oklahoma,Town,Rogers,1305,36.443,-95.709,Rogers County Oklahoma,,,,
Charlack,MO,Missouri,City,St. Louis,1304,38.703,-90.343,St. Louis County Missouri,,,,
Dike,IA,Iowa,City,Grundy,1304,42.464,-92.626,Grundy County Iowa,,,,
Edwardsburg,MI,Michigan,Village,Cass,1304,41.795,-86.083,Cass County Michigan,,,,
Iota,LA,Louisiana,Town,Acadia,1304,30.326,-92.496,Acadia County Louisiana,,,,
Terry,MS,Mississippi,Town,Hinds,1304,32.106,-90.292,Hinds County Mississippi,,,,
Ansted,WV,West Virginia,Town,Fayette,1303,38.135,-81.104,Fayette County West Virginia,,,,
Barry,IL,Illinois,City,Pike,1303,39.698,-91.04,Pike County Illinois,,,,
North Charleroi,PA,Pennsylvania,Borough,Washington,1303,40.15,-79.908,Washington County Pennsylvania,,,,
Williamstown,PA,Pennsylvania,Borough,Dauphin,1303,40.581,-76.617,Dauphin County Pennsylvania,,,,
Brown City,MI,Michigan,City,Lapeer,1302,43.211,-82.988,Lapeer County Michigan,,,,
Westfield,WI,Wisconsin,Village,Marquette,1302,43.885,-89.492,Marquette County Wisconsin,,,,
Bolton,VT,Vermont,Town,Chittenden,1301,44.403,-72.882,Chittenden County Vermont,,,,
Renville,MN,Minnesota,City,Renville,1301,44.788,-95.214,Renville County Minnesota,,,,
Snyder,OK,Oklahoma,City,Kiowa,1301,34.655,-98.953,Kiowa County Oklahoma,,,,
Arlington,NE,Nebraska,Village,Washington,1300,41.455,-96.357,Washington County Nebraska,,,,
Clarksville,VA,Virginia,Town,Mecklenburg,1300,36.619,-78.564,Mecklenburg County Virginia,,,,
Coon Rapids,IA,Iowa,City,Guthrie,1300,41.875,-94.678,Guthrie County Iowa,,,,
Monroeville,OH,Ohio,Village,Huron,1300,41.244,-82.703,Huron County Ohio,,,,
Washburn,ND,North Dakota,City,McLean,1300,47.294,-101.029,McLean County North Dakota,,,,
Wyoming,IL,Illinois,City,Stark,1300,41.064,-89.773,Stark County Illinois,,,,
Crescent,OK,Oklahoma,City,Logan,1299,35.952,-97.594,Logan County Oklahoma,,,,
Morris,OK,Oklahoma,City,Okmulgee,1299,35.605,-95.862,Okmulgee County Oklahoma,,,,
Poipu,HI,Hawaii,Census-Designated Place,Kauai,1299,21.892,-159.459,Kauai County Hawaii,,,,
Holly Hill,SC,South Carolina,Town,Orangeburg,1298,33.325,-80.413,Orangeburg County South Carolina,,,,
East Hazel Crest,IL,Illinois,Village,Cook,1297,41.576,-87.65,Cook County Illinois,,,,
San Antonio,FL,Florida,City,Pasco,1297,28.34,-82.279,Pasco County Florida,,,,
Waymart,PA,Pennsylvania,Borough,Wayne,1297,41.586,-75.404,Wayne County Pennsylvania,,,,
Lake Waccamaw,NC,North Carolina,Town,Columbus,1296,34.32,-78.521,Columbus County North Carolina,,,,
Latta,SC,South Carolina,Town,Dillon,1296,34.339,-79.434,Dillon County South Carolina,,,,
Platte,SD,South Dakota,City,Charles Mix,1296,43.387,-98.844,Charles Mix County South Dakota,,,,
Powells Crossroads,TN,Tennessee,Town,Marion,1296,35.184,-85.485,Marion County Tennessee,,,,
Rosebud,TX,Texas,City,Falls,1296,31.075,-96.976,Falls County Texas,,,,
Schwenksville,PA,Pennsylvania,Borough,Montgomery,1296,40.257,-75.466,Montgomery County Pennsylvania,,,,
Coldstream,KY,Kentucky,City,Jefferson,1295,38.314,-85.526,Jefferson County Kentucky,,,,
Courtland,VA,Virginia,Town,Southampton,1295,36.712,-77.062,Southampton County Virginia,,,,
Olla,LA,Louisiana,Town,La Salle,1295,31.898,-92.24,La Salle County Louisiana,,,,
Grant Park,IL,Illinois,Village,Kankakee,1294,41.243,-87.638,Kankakee County Illinois,,,,
Monroeville,IN,Indiana,Town,Allen,1294,40.973,-84.868,Allen County Indiana,,,,
New York Mills,MN,Minnesota,City,Otter Tail,1294,46.52,-95.373,Otter Tail County Minnesota,,,,
Wallis,TX,Texas,City,Austin,1292,29.632,-96.064,Austin County Texas,,,,
Burlington,ND,North Dakota,City,Ward,1291,48.276,-101.425,Ward County North Dakota,,,,
Goodwater,AL,Alabama,Town,Coosa,1291,33.061,-86.052,Coosa County Alabama,,,,
Townshend,VT,Vermont,Town,Windham,1291,43.07,-72.673,Windham County Vermont,,,,
Atwood,KS,Kansas,City,Rawlins,1290,39.81,-101.042,Rawlins County Kansas,,,,
Hewlett Harbor,NY,New York,Village,Nassau,1290,40.633,-73.685,Nassau County New York,,,,
Hodgdon,ME,Maine,Town,Aroostook,1290,46.048,-67.844,Aroostook County Maine,,,,
Montrose,PA,Pennsylvania,Borough,Susquehanna,1290,41.834,-75.876,Susquehanna County Pennsylvania,,,,
Gillett,WI,Wisconsin,City,Oconto,1289,44.89,-88.306,Oconto County Wisconsin,,,,
Ponderay,ID,Idaho,City,Bonner,1289,48.312,-116.54,Bonner County Idaho,,,,
Basin,WY,Wyoming,Town,Big Horn,1288,44.381,-108.047,Big Horn County Wyoming,,,,
Eastport,ME,Maine,City,Washington,1288,44.911,-67.009,Washington County Maine,,,,
Foxfire,NC,North Carolina,Village,Moore,1288,35.178,-79.562,Moore County North Carolina,,,,
Galveston,IN,Indiana,Town,Cass,1288,40.577,-86.191,Cass County Indiana,,,,
Heidelberg,PA,Pennsylvania,Borough,Allegheny,1288,40.391,-80.092,Allegheny County Pennsylvania,,,,
Konawa,OK,Oklahoma,City,Seminole,1288,34.958,-96.754,Seminole County Oklahoma,,,,
Webberville,MI,Michigan,Village,Ingham,1288,42.663,-84.176,Ingham County Michigan,,,,
Elkhart,TX,Texas,Town,Anderson,1287,31.628,-95.579,Anderson County Texas,,,,
Brocton,NY,New York,Village,Chautauqua,1286,42.39,-79.443,Chautauqua County New York,,,,
Rogersville,AL,Alabama,Town,Lauderdale,1286,34.828,-87.283,Lauderdale County Alabama,,,,
Bagley,MN,Minnesota,City,Clearwater,1285,47.524,-95.404,Clearwater County Minnesota,,,,
Ontonagon,MI,Michigan,Village,Ontonagon,1285,46.866,-89.312,Ontonagon County Michigan,,,,
Dalton,PA,Pennsylvania,Borough,Lackawanna,1284,41.538,-75.738,Lackawanna County Pennsylvania,,,,
Danby,VT,Vermont,Town,Rutland,1284,43.354,-73.06,Rutland County Vermont,,,,
Sundown,TX,Texas,City,Hockley,1283,33.458,-102.491,Hockley County Texas,,,,
Glenns Ferry,ID,Idaho,City,Elmore,1282,42.95,-115.307,Elmore County Idaho,,,,
Plainview,NE,Nebraska,City,Pierce,1282,42.353,-97.787,Pierce County Nebraska,,,,
Sneedville,TN,Tennessee,Town,Hancock,1282,36.537,-83.211,Hancock County Tennessee,,,,
Dysart,IA,Iowa,City,Tama,1281,42.172,-92.309,Tama County Iowa,,,,
Royalton,MN,Minnesota,City,Benton,1281,45.83,-94.293,Benton County Minnesota,,,,
Beaver,OK,Oklahoma,Town,Beaver,1280,36.815,-100.524,Beaver County Oklahoma,,,,
Beechwood Village,KY,Kentucky,City,Jefferson,1280,38.257,-85.63,Jefferson County Kentucky,,,,
Elmore,AL,Alabama,Town,Elmore,1280,32.544,-86.336,Elmore County Alabama,,,,
Pelham,MA,Massachusetts,Town,Hampshire,1280,42.386,-72.419,Hampshire County Massachusetts,,,,
North Bend,NE,Nebraska,City,Dodge,1279,41.465,-96.783,Dodge County Nebraska,,,,
Rock Island,WA,Washington,City,Douglas,1279,47.374,-120.138,Douglas County Washington,,,,
Vinalhaven,ME,Maine,Town,Knox,1279,44.062,-68.845,Knox County Maine,,,,
West Jefferson,NC,North Carolina,Town,Ashe,1279,36.392,-81.489,Ashe County North Carolina,,,,
Mountain View,WY,Wyoming,Town,Uinta,1278,41.272,-110.334,Uinta County Wyoming,,,,
Parker City,IN,Indiana,Town,Randolph,1278,40.19,-85.204,Randolph County Indiana,,,,
Rock Port,MO,Missouri,City,Atchison,1278,40.411,-95.533,Atchison County Missouri,,,,
Bloomfield,NY,New York,Village,Ontario,1277,42.899,-77.424,Ontario County New York,,,,
Stedman,NC,North Carolina,Town,Cumberland,1277,35.014,-78.7,Cumberland County North Carolina,,,,
Elbow Lake,MN,Minnesota,City,Grant,1276,45.991,-95.984,Grant County Minnesota,,,,
Montgomery,WV,West Virginia,City,Fayette,1275,38.174,-81.32,Fayette County West Virginia,,,,
Avondale,PA,Pennsylvania,Borough,Chester,1274,39.826,-75.781,Chester County Pennsylvania,,,,
Harbor Springs,MI,Michigan,City,Emmet,1274,45.433,-84.989,Emmet County Michigan,,,,
Hawkins,TX,Texas,City,Wood,1274,32.591,-95.203,Wood County Texas,,,,
Auburn,KS,Kansas,City,Shawnee,1273,38.907,-95.816,Shawnee County Kansas,,,,
Bakersfield,VT,Vermont,Town,Franklin,1273,44.793,-72.803,Franklin County Vermont,,,,
Lambert,MS,Mississippi,Town,Quitman,1273,34.201,-90.285,Quitman County Mississippi,,,,
Leesburg,OH,Ohio,Village,Highland,1273,39.342,-83.552,Highland County Ohio,,,,
Bryn Athyn,PA,Pennsylvania,Borough,Montgomery,1272,40.141,-75.067,Montgomery County Pennsylvania,,,,
Pelahatchie,MS,Mississippi,Town,Rankin,1272,32.321,-89.808,Rankin County Mississippi,,,,
West Yellowstone,MT,Montana,Town,Gallatin,1272,44.663,-111.106,Gallatin County Montana,,,,
Flemington,PA,Pennsylvania,Borough,Clinton,1271,41.127,-77.47,Clinton County Pennsylvania,,,,
Roscoe,TX,Texas,City,Nolan,1271,32.441,-100.537,Nolan County Texas,,,,
Farmland,IN,Indiana,Town,Randolph,1270,40.19,-85.127,Randolph County Indiana,,,,
Hanover,OH,Ohio,Village,Licking,1270,40.083,-82.275,Licking County Ohio,,,,
Huntsville,TN,Tennessee,Town,Scott,1270,36.411,-84.504,Scott County Tennessee,,,,
Webb,AL,Alabama,Town,Houston,1270,31.258,-85.289,Houston County Alabama,,,,
Panama,OK,Oklahoma,Town,Le Flore,1269,35.171,-94.671,Le Flore County Oklahoma,,,,
Port Gibson,MS,Mississippi,City,Claiborne,1269,31.956,-90.983,Claiborne County Mississippi,,,,
Robersonville,NC,North Carolina,Town,Martin,1269,35.825,-77.253,Martin County North Carolina,,,,
West Leechburg,PA,Pennsylvania,Borough,Westmoreland,1269,40.634,-79.619,Westmoreland County Pennsylvania,,,,
Archie,MO,Missouri,City,Cass,1268,38.482,-94.351,Cass County Missouri,,,,
Centre Hall,PA,Pennsylvania,Borough,Centre,1268,40.845,-77.685,Centre County Pennsylvania,,,,
Shell Rock,IA,Iowa,City,Butler,1268,42.712,-92.582,Butler County Iowa,,,,
Waterford,VT,Vermont,Town,Caledonia,1268,44.384,-71.944,Caledonia County Vermont,,,,
Broadway,NC,North Carolina,Town,Lee,1267,35.458,-79.055,Lee County North Carolina,,,,
Guilford,ME,Maine,Town,Piscataquis,1267,45.212,-69.35,Piscataquis County Maine,,,,
Hurt,VA,Virginia,Town,Pittsylvania,1267,37.096,-79.303,Pittsylvania County Virginia,,,,
Princeton,WI,Wisconsin,City,Green Lake,1267,43.853,-89.13,Green Lake County Wisconsin,,,,
La Crosse,KS,Kansas,City,Rush,1266,38.532,-99.309,Rush County Kansas,,,,
Central City,IA,Iowa,City,Linn,1264,42.203,-91.524,Linn County Iowa,,,,
Clarksville,IA,Iowa,City,Butler,1264,42.779,-92.668,Butler County Iowa,,,,
Homer,GA,Georgia,Town,Banks,1264,34.338,-83.495,Banks County Georgia,,,,
Laurens,IA,Iowa,City,Pocahontas,1264,42.848,-94.848,Pocahontas County Iowa,,,,
Mountain Village,CO,Colorado,Town,San Miguel,1264,37.932,-107.858,San Miguel County Colorado,,,,
Ladd,IL,Illinois,Village,Bureau,1263,41.382,-89.214,Bureau County Illinois,,,,
St Francis,KS,Kansas,City,Cheyenne,1263,39.771,-101.802,Cheyenne County Kansas,,,,
Thorndale,TX,Texas,City,Williamson,1263,30.614,-97.206,Williamson County Texas,,,,
Coleman,MI,Michigan,City,Midland,1262,43.759,-84.587,Midland County Michigan,,,,
Kent City,MI,Michigan,Village,Kent,1262,43.224,-85.756,Kent County Michigan,,,,
Kingston,OH,Ohio,Village,Ross,1262,39.472,-82.912,Ross County Ohio,,,,
New Sharon,IA,Iowa,City,Mahaska,1262,41.47,-92.651,Mahaska County Iowa,,,,
Long Creek,IL,Illinois,Village,Macon,1261,39.805,-88.847,Macon County Illinois,,,,
Reese,MI,Michigan,Village,Tuscola,1261,43.453,-83.689,Tuscola County Michigan,,,,
China,TX,Texas,City,Jefferson,1260,30.041,-94.338,Jefferson County Texas,,,,
Larimore,ND,North Dakota,City,Grand Forks,1260,47.909,-97.627,Grand Forks County North Dakota,,,,
Point Venture,TX,Texas,Village,Travis,1260,30.384,-97.998,Travis County Texas,,,,
Shoreham,VT,Vermont,Town,Addison,1260,43.895,-73.31,Addison County Vermont,,,,
Springfield,NH,New Hampshire,Town,Sullivan,1259,43.49,-72.039,Sullivan County New Hampshire,,,,
Stryker,OH,Ohio,Village,Williams,1259,41.503,-84.417,Williams County Ohio,,,,
Tiltonsville,OH,Ohio,Village,Jefferson,1259,40.172,-80.698,Jefferson County Ohio,,,,
Centreville,MS,Mississippi,Town,Wilkinson,1258,31.087,-91.065,Wilkinson County Mississippi,,,,
Clear Lake Shores,TX,Texas,City,Galveston,1258,29.547,-95.033,Galveston County Texas,,,,
Eagle Butte,SD,South Dakota,City,Dewey,1258,44.991,-101.228,Dewey County South Dakota,,,,
Edgerton,MN,Minnesota,City,Pipestone,1258,43.875,-96.13,Pipestone County Minnesota,,,,
Goodman,MS,Mississippi,Town,Holmes,1258,32.968,-89.913,Holmes County Mississippi,,,,
Jeffersonville,OH,Ohio,Village,Fayette,1258,39.652,-83.557,Fayette County Ohio,,,,
Manton,MI,Michigan,City,Wexford,1258,44.411,-85.401,Wexford County Michigan,,,,
Stamps,AR,Arkansas,City,Lafayette,1258,33.355,-93.498,Lafayette County Arkansas,,,,
Earlington,KY,Kentucky,City,Hopkins,1257,37.277,-87.509,Hopkins County Kentucky,,,,
Geneva,IN,Indiana,Town,Adams,1257,40.597,-84.957,Adams County Indiana,,,,
La Plata,MO,Missouri,City,Macon,1257,40.024,-92.491,Macon County Missouri,,,,
Fayette,IA,Iowa,City,Fayette,1256,42.842,-91.804,Fayette County Iowa,,,,
Hurley,NM,New Mexico,Town,Grant,1256,32.699,-108.132,Grant County New Mexico,,,,
Manly,IA,Iowa,City,Worth,1256,43.288,-93.201,Worth County Iowa,,,,
Nashville,IN,Indiana,Town,Brown,1256,39.211,-86.245,Brown County Indiana,,,,
Spring Grove,MN,Minnesota,City,Houston,1256,43.561,-91.637,Houston County Minnesota,,,,
Taylorsville,KY,Kentucky,City,Spencer,1256,38.032,-85.345,Spencer County Kentucky,,,,
Bethany,IL,Illinois,Village,Moultrie,1255,39.644,-88.741,Moultrie County Illinois,,,,
Duncansville,PA,Pennsylvania,Borough,Blair,1255,40.426,-78.43,Blair County Pennsylvania,,,,
Theresa,WI,Wisconsin,Village,Dodge,1255,43.517,-88.454,Dodge County Wisconsin,,,,
Princeville,NC,North Carolina,Town,Edgecombe,1254,35.889,-77.529,Edgecombe County North Carolina,,,,
St Elmo,IL,Illinois,City,Fayette,1254,39.024,-88.852,Fayette County Illinois,,,,
Blue Ridge,GA,Georgia,City,Fannin,1253,34.866,-84.323,Fannin County Georgia,,,,
Brookside,AL,Alabama,Town,Jefferson,1253,33.638,-86.898,Jefferson County Alabama,,,,
Fowler,CO,Colorado,Town,Otero,1253,38.13,-104.026,Otero County Colorado,,,,
Hanna City,IL,Illinois,Village,Peoria,1253,40.693,-89.794,Peoria County Illinois,,,,
Martindale,TX,Texas,City,Caldwell,1253,29.843,-97.84,Caldwell County Texas,,,,
Benwood,WV,West Virginia,City,Marshall,1252,40.01,-80.732,Marshall County West Virginia,,,,
Frankfort,MI,Michigan,City,Benzie,1252,44.637,-86.232,Benzie County Michigan,,,,
New London,MN,Minnesota,City,Kandiyohi,1252,45.297,-94.948,Kandiyohi County Minnesota,,,,
North Apollo,PA,Pennsylvania,Borough,Armstrong,1252,40.594,-79.557,Armstrong County Pennsylvania,,,,
Bainbridge,NY,New York,Village,Chenango,1251,42.302,-75.479,Chenango County New York,,,,
Emory,TX,Texas,City,Rains,1251,32.877,-95.766,Rains County Texas,,,,
Pierce City,MO,Missouri,City,Lawrence,1251,36.947,-94.004,Lawrence County Missouri,,,,
Danbury,NH,New Hampshire,Town,Merrimack,1250,43.53,-71.87,Merrimack County New Hampshire,,,,
De Graff,OH,Ohio,Village,Logan,1250,40.313,-83.917,Logan County Ohio,,,,
Fairfax,MN,Minnesota,City,Renville,1250,44.528,-94.723,Renville County Minnesota,,,,
Gholson,TX,Texas,City,McLennan,1250,31.706,-97.238,McLennan County Texas,,,,
Goodhue,MN,Minnesota,City,Goodhue,1250,44.401,-92.626,Goodhue County Minnesota,,,,
Keenesburg,CO,Colorado,Town,Weld,1250,40.113,-104.482,Weld County Colorado,,,,
Royalston,MA,Massachusetts,Town,Worcester,1250,42.682,-72.176,Worcester County Massachusetts,,,,
Weber City,VA,Virginia,Town,Scott,1250,36.624,-82.563,Scott County Virginia,,,,
Iola,WI,Wisconsin,Village,Waupaca,1249,44.51,-89.117,Waupaca County Wisconsin,,,,
Shattuck,OK,Oklahoma,Town,Ellis,1249,36.265,-99.877,Ellis County Oklahoma,,,,
Troy,PA,Pennsylvania,Borough,Bradford,1249,41.783,-76.792,Bradford County Pennsylvania,,,,
Alton,IA,Iowa,City,Sioux,1248,42.987,-96.009,Sioux County Iowa,,,,
Hilbert,WI,Wisconsin,Village,Calumet,1248,44.142,-88.161,Calumet County Wisconsin,,,,
Madison Lake,MN,Minnesota,City,Blue Earth,1247,44.205,-93.816,Blue Earth County Minnesota,,,,
North Collins,NY,New York,Village,Erie,1247,42.595,-78.937,Erie County New York,,,,
Wilson,NY,New York,Village,Niagara,1247,43.315,-78.828,Niagara County New York,,,,
Baltic,SD,South Dakota,City,Minnehaha,1246,43.761,-96.737,Minnehaha County South Dakota,,,,
Cavalier,ND,North Dakota,City,Pembina,1246,48.795,-97.623,Pembina County North Dakota,,,,
Lunenburg,VT,Vermont,Town,Essex,1246,44.477,-71.713,Essex County Vermont,,,,
Munday,TX,Texas,City,Knox,1246,33.447,-99.624,Knox County Texas,,,,
Wathena,KS,Kansas,City,Doniphan,1246,39.761,-94.935,Doniphan County Kansas,,,,
Cleveland,AL,Alabama,Town,Blount,1245,34,-86.563,Blount County Alabama,,,,
Haskins,OH,Ohio,Village,Wood,1245,41.465,-83.704,Wood County Ohio,,,,
Jonesport,ME,Maine,Town,Washington,1245,44.579,-67.603,Washington County Maine,,,,
Marthasville,MO,Missouri,City,Warren,1245,38.631,-91.058,Warren County Missouri,,,,
Plum Grove,TX,Texas,City,Liberty,1245,30.201,-95.096,Liberty County Texas,,,,
Brookfield,VT,Vermont,Town,Orange,1244,44.034,-72.595,Orange County Vermont,,,,
Fullerton,NE,Nebraska,City,Nance,1244,41.364,-97.972,Nance County Nebraska,,,,
Stockbridge,MI,Michigan,Village,Ingham,1244,42.448,-84.176,Ingham County Michigan,,,,
Avalon,NJ,New Jersey,Borough,Cape May,1243,39.091,-74.736,Cape May County New Jersey,,,,
Surf City,NJ,New Jersey,Borough,Ocean,1243,39.662,-74.169,Ocean County New Jersey,,,,
Estancia,NM,New Mexico,Town,Torrance,1242,34.763,-106.023,Torrance County New Mexico,,,,
Pleasant Hill,OH,Ohio,Village,Miami,1241,40.051,-84.346,Miami County Ohio,,,,
Gnadenhutten,OH,Ohio,Village,Tuscarawas,1240,40.359,-81.426,Tuscarawas County Ohio,,,,
Mahnomen,MN,Minnesota,City,Mahnomen,1240,47.314,-95.967,Mahnomen County Minnesota,,,,
Morningside,MD,Maryland,Town,Prince George's,1240,38.83,-76.889,Prince George's County Maryland,,,,
Willacoochee,GA,Georgia,City,Atkinson,1240,31.335,-83.044,Atkinson County Georgia,,,,
Bismarck,MO,Missouri,City,St. Francois,1239,37.767,-90.622,St. Francois County Missouri,,,,
Orwell,VT,Vermont,Town,Addison,1239,43.805,-73.287,Addison County Vermont,,,,
Wisner,NE,Nebraska,City,Cuming,1239,41.988,-96.914,Cuming County Nebraska,,,,
Breckenridge,MI,Michigan,Village,Gratiot,1238,43.408,-84.479,Gratiot County Michigan,,,,
Chittenden,VT,Vermont,Town,Rutland,1237,43.757,-72.921,Rutland County Vermont,,,,
Lubec,ME,Maine,Town,Washington,1237,44.807,-67.029,Washington County Maine,,,,
Orford,NH,New Hampshire,Town,Grafton,1237,43.896,-72.064,Grafton County New Hampshire,,,,
Wells,NV,Nevada,City,Elko,1237,41.113,-114.954,Elko County Nevada,,,,
West Easton,PA,Pennsylvania,Borough,Northampton,1237,40.678,-75.236,Northampton County Pennsylvania,,,,
Plainfield,VT,Vermont,Town,Washington,1236,44.246,-72.411,Washington County Vermont,,,,
Albany,LA,Louisiana,Village,Livingston,1235,30.503,-90.585,Livingston County Louisiana,,,,
Beverly,OH,Ohio,Village,Washington,1233,39.55,-81.636,Washington County Ohio,,,,
Chelsea,VT,Vermont,Town,Orange,1233,43.992,-72.457,Orange County Vermont,,,,
Green Springs,OH,Ohio,Village,Seneca,1233,41.257,-83.054,Seneca County Ohio,,,,
Irasburg,VT,Vermont,Town,Orleans,1233,44.814,-72.281,Orleans County Vermont,,,,
Palestine,IL,Illinois,Village,Crawford,1233,39.002,-87.613,Crawford County Illinois,,,,
Valmeyer,IL,Illinois,Village,Monroe,1233,38.306,-90.298,Monroe County Illinois,,,,
Williamsburg,PA,Pennsylvania,Borough,Blair,1233,40.463,-78.204,Blair County Pennsylvania,,,,
Black River,NY,New York,Village,Jefferson,1232,44.01,-75.796,Jefferson County New York,,,,
Chatham,VA,Virginia,Town,Pittsylvania,1232,36.812,-79.4,Pittsylvania County Virginia,,,,
Dixon,MO,Missouri,City,Pulaski,1232,37.995,-92.096,Pulaski County Missouri,,,,
Milford,NJ,New Jersey,Borough,Hunterdon,1232,40.574,-75.089,Hunterdon County New Jersey,,,,
Rich Hill,MO,Missouri,City,Bates,1232,38.096,-94.363,Bates County Missouri,,,,
Big Sandy,TX,Texas,Town,Upshur,1231,32.586,-95.113,Upshur County Texas,,,,
Frankfort,ME,Maine,Town,Waldo,1231,44.602,-68.91,Waldo County Maine,,,,
Irvington,KY,Kentucky,City,Breckinridge,1231,37.878,-86.286,Breckinridge County Kentucky,,,,
Mulberry,IN,Indiana,Town,Clinton,1231,40.346,-86.667,Clinton County Indiana,,,,
Tangent,OR,Oregon,City,Linn,1231,44.548,-123.111,Linn County Oregon,,,,
Edison,GA,Georgia,City,Calhoun,1230,31.561,-84.737,Calhoun County Georgia,,,,
Livermore,KY,Kentucky,City,McLean,1230,37.492,-87.134,McLean County Kentucky,,,,
Siletz,OR,Oregon,City,Lincoln,1230,44.722,-123.919,Lincoln County Oregon,,,,
Hawley,PA,Pennsylvania,Borough,Wayne,1229,41.476,-75.176,Wayne County Pennsylvania,,,,
Marsing,ID,Idaho,City,Owyhee,1229,43.546,-116.81,Owyhee County Idaho,,,,
New Richland,MN,Minnesota,City,Waseca,1229,43.894,-93.494,Waseca County Minnesota,,,,
Valley Mills,TX,Texas,City,Bosque,1229,31.659,-97.472,Bosque County Texas,,,,
Bally,PA,Pennsylvania,Borough,Berks,1228,40.4,-75.588,Berks County Pennsylvania,,,,
Chester,MA,Massachusetts,Town,Hampden,1228,42.292,-72.937,Hampden County Massachusetts,,,,
Cornersville,TN,Tennessee,Town,Marshall,1228,35.375,-86.879,Marshall County Tennessee,,,,
Garretson,SD,South Dakota,City,Minnehaha,1228,43.715,-96.503,Minnehaha County South Dakota,,,,
St John,KS,Kansas,City,Stafford,1228,38,-98.761,Stafford County Kansas,,,,
University Heights,IA,Iowa,City,Johnson,1228,41.655,-91.559,Johnson County Iowa,,,,
Etna,ME,Maine,Town,Penobscot,1226,44.786,-69.134,Penobscot County Maine,,,,
Fowler,MI,Michigan,Village,Clinton,1226,43.004,-84.742,Clinton County Michigan,,,,
Kensington,NY,New York,Village,Nassau,1226,40.793,-73.722,Nassau County New York,,,,
Montague,CA,California,City,Siskiyou,1226,41.727,-122.531,Siskiyou County California,,,,
Rutherford College,NC,North Carolina,Town,Burke,1226,35.751,-81.527,Burke County North Carolina,,,,
Tower Lakes,IL,Illinois,Village,Lake,1226,42.228,-88.155,Lake County Illinois,,,,
Bellefonte,DE,Delaware,Town,New Castle,1225,39.767,-75.498,New Castle County Delaware,,,,
Biglerville,PA,Pennsylvania,Borough,Adams,1225,39.93,-77.246,Adams County Pennsylvania,,,,
Bridport,VT,Vermont,Town,Addison,1225,43.983,-73.336,Addison County Vermont,,,,
Fort Deposit,AL,Alabama,Town,Lowndes,1225,31.986,-86.566,Lowndes County Alabama,,,,
Zebulon,GA,Georgia,City,Pike,1225,33.094,-84.343,Pike County Georgia,,,,
Boswell,PA,Pennsylvania,Borough,Somerset,1224,40.161,-79.027,Somerset County Pennsylvania,,,,
Diaz,AR,Arkansas,City,Jackson,1224,35.649,-91.259,Jackson County Arkansas,,,,
Erin,TN,Tennessee,City,Houston,1224,36.316,-87.703,Houston County Tennessee,,,,
Hillcrest,IL,Illinois,Village,Ogle,1224,41.976,-89.072,Ogle County Illinois,,,,
Moravia,NY,New York,Village,Cayuga,1224,42.712,-76.422,Cayuga County New York,,,,
Orangeville,UT,Utah,City,Emery,1224,39.231,-111.059,Emery County Utah,,,,
Hebron,ME,Maine,Town,Oxford,1223,44.21,-70.384,Oxford County Maine,,,,
Laverne,OK,Oklahoma,Town,Harper,1223,36.705,-99.897,Harper County Oklahoma,,,,
Rolla,ND,North Dakota,City,Rolette,1223,48.844,-99.61,Rolette County North Dakota,,,,
Camillus,NY,New York,Village,Onondaga,1222,43.039,-76.309,Onondaga County New York,,,,
Clinton,KY,Kentucky,City,Hickman,1222,36.666,-88.994,Hickman County Kentucky,,,,
La Grulla,TX,Texas,City,Starr,1222,26.271,-98.649,Starr County Texas,,,,
Pigeon,MI,Michigan,Village,Huron,1222,43.83,-83.27,Huron County Michigan,,,,
Rangeley,ME,Maine,Town,Franklin,1222,44.976,-70.73,Franklin County Maine,,,,
Gregory,SD,South Dakota,City,Gregory,1221,43.23,-99.421,Gregory County South Dakota,,,,
Rossville,IL,Illinois,Village,Vermilion,1221,40.381,-87.67,Vermilion County Illinois,,,,
